ticker,company,issuer,spot,predicted,date_posted
144,招商局國際 (00144),美銀美林,37.4,26.3,31/8/2011 12:07
1833,銀泰百貨 (01833),高盛,13.5,15.2,31/8/2011 11:23
322,康師傅控股 (00322),摩根士丹利,19.2,23.2,31/8/2011 11:22
246,瑞金礦業 (00246),里昂,,5.6,31/8/2010 09:58
268,金蝶國際 (00268),大福證券,,3.7,31/8/2010 09:51
939,建設銀行 (00939),星展唯高達,,8.12,31/8/2010 18:40
1398,工商銀行 (01398),星展唯高達,,6.67,31/8/2010 18:36
2038,富士康國際 (02038),瑞銀,,5,31/8/2010 16:14
880,澳博控股 (00880),花旗,6.9,9.15,31/8/2010 15:42
658,中國高速傳動 (00658),星展唯高達,,21,31/8/2010 15:27
3337,安東油田服務 (03337),麥格里,,1.01,31/8/2010 15:19
330,思捷環球 (00330),星展唯高達,,49,31/8/2010 15:15
338,上海石油化工股份 (00338),中銀國際,,2.91,31/8/2010 15:12
2038,富士康國際 (02038),摩根士丹利,,4,31/8/2010 15:08
2018,瑞聲聲學 (02018),星展唯高達,,17.7,31/8/2010 11:40
751,創維數碼 (00751),瑞信,9.2,7.5,31/8/2010 10:59
2018,瑞聲聲學 (02018),摩根大通,,17.5,31/8/2010 10:52
700,騰訊 (00700),高盛,,418,31/7/2019 10:46
2343,太平洋航運 (02343),德銀,,2.52,31/7/2018 11:54
1088,中國神華 (01088),德銀,,25,31/7/2017 11:38
1088,中國神華 (01088),麥格理,,19,31/7/2017 11:18
1128,永利澳門 (01128),法巴,,13.1,31/7/2015 13:59
2688,新奧能源 (02688),摩根大通,45,60,31/7/2015 13:34
700,騰訊控股 (00700),麥格里,,204,31/7/2015 13:16
5,匯豐控股 (00005),高盛,,88,31/7/2015 13:09
101,恒隆地產 (00101),BNP,,24.4,31/7/2015 12:59
753,中國國航 (00753),摩根大通,13.15,14,31/7/2015 12:47
762,中國聯通 (00762),瑞信,19.6,20.4,31/7/2014 18:39
880,澳博控股 (00880),美銀美林,25,25.5,31/7/2014 17:03
101,恒隆地產 (00101),德銀,,31.67,31/7/2014 16:21
2382,舜宇光學科技 (02382),金英證券,,10.5,31/7/2014 15:38
215,和記電訊 (00215),摩根大通,3.5,3.7,31/7/2014 12:08
2689,玖龍紙業 (02689),野村,,7.1,31/7/2014 12:05
11,恒生銀行 (00011),麥格里,,90,31/7/2013 13:58
564,鄭煤機 (00564),瑞銀,13.61,6.73,31/7/2013 13:50
